time,eSense Name,Ax,Ay,Az,Gx,Gy,Gz,title,label
1.58204E+12,eSense-0869,-0.89855957,0.385131836,0.111206055,2.195121951,-0.12195122,1.463414634,squat-1,break
1.58204E+12,eSense-0869,-0.894897461,0.390991211,0.112182617,1.768292683,-0.243902439,2.042682927,squat-1,break
1.58204E+12,eSense-0869,-0.890258789,0.395629883,0.11706543,0.701219512,-0.06097561,1.524390244,squat-1,break
1.58204E+12,eSense-0869,-0.893920898,0.390258789,0.122436523,0.487804878,0.487804878,-1.920731707,squat-1,break
1.58204E+12,eSense-0869,-0.8984375,0.387573242,0.124023438,-0.670731707,3.109756098,-1.067073171,squat-1,break
1.58204E+12,eSense-0869,-0.900878906,0.384033203,0.123901367,-0.670731707,2.56097561,-0.762195122,squat-1,break
1.58204E+12,eSense-0869,-0.900268555,0.382324219,0.124267578,-0.579268293,2.5,0.274390244,squat-1,break
1.58204E+12,eSense-0869,-0.901245117,0.377075195,0.129638672,-0.365853659,1.951219512,0.487804878,squat-1,break
1.58204E+12,eSense-0869,-0.900878906,0.381103516,0.129882813,0.365853659,2.225609756,0.426829268,squat-1,break
1.58204E+12,eSense-0869,-0.893310547,0.385620117,0.133178711,1.158536585,2.164634146,1.890243902,squat-1,break
1.58204E+12,eSense-0869,-0.894042969,0.398071289,0.130981445,1.036585366,3.445121951,2.743902439,squat-1,break
1.58204E+12,eSense-0869,-0.893798828,0.400268555,0.13269043,0.579268293,2.652439024,2.286585366,squat-1,break
1.58204E+12,eSense-0869,-0.888305664,0.406982422,0.131225586,1.006097561,3.079268293,2.652439024,squat-1,break
1.58204E+12,eSense-0869,-0.885375977,0.409545898,0.130004883,0.731707317,2.804878049,1.890243902,squat-1,break
1.58204E+12,eSense-0869,-0.884887695,0.413696289,0.123535156,1.31097561,2.987804878,1.463414634,squat-1,break
1.58204E+12,eSense-0869,-0.891601563,0.417602539,0.124755859,0.914634146,3.048780488,1.493902439,squat-1,break
1.58204E+12,eSense-0869,-0.884399414,0.419799805,0.125366211,1.493902439,1.402439024,0.091463415,squat-1,break
1.58204E+12,eSense-0869,-0.883789063,0.415161133,0.129760742,1.646341463,0.640243902,-1.31097561,squat-1,break
1.58204E+12,eSense-0869,-0.883544922,0.415283203,0.131591797,1.920731707,0.701219512,-1.585365854,squat-1,break
1.58204E+12,eSense-0869,-0.889282227,0.408935547,0.137329102,1.463414634,0.304878049,-2.469512195,squat-1,break
1.58204E+12,eSense-0869,-0.887329102,0.404541016,0.141601563,2.5,-0.182926829,-2.774390244,squat-1,break
1.58204E+12,eSense-0869,-0.887939453,0.40246582,0.143676758,1.493902439,0.975609756,-2.56097561,squat-1,break
1.58204E+12,eSense-0869,-0.893432617,0.395874023,0.146484375,1.341463415,1.280487805,-2.835365854,squat-1,break
1.58204E+12,eSense-0869,-0.888183594,0.393066406,0.152587891,1.37195122,1.615853659,-1.097560976,squat-1,break
1.58204E+12,eSense-0869,-0.889160156,0.396972656,0.149780273,1.067073171,2.43902439,-0.487804878,squat-1,break
1.58204E+12,eSense-0869,-0.892700195,0.389526367,0.150390625,1.006097561,2.835365854,-0.640243902,squat-1,break
1.58204E+12,eSense-0869,-0.893066406,0.390869141,0.149414063,1.18902439,2.835365854,-0.670731707,squat-1,break
1.58204E+12,eSense-0869,-0.892456055,0.390625,0.146362305,1.524390244,3.109756098,-0.426829268,squat-1,break
1.58204E+12,eSense-0869,-0.892456055,0.39050293,0.14465332,1.829268293,3.323170732,0.365853659,squat-1,break
1.58204E+12,eSense-0869,-0.889892578,0.397216797,0.138305664,1.768292683,3.719512195,0.884146341,squat-1,break
1.58204E+12,eSense-0869,-0.890136719,0.402709961,0.137084961,1.18902439,2.286585366,1.097560976,squat-1,break
1.58204E+12,eSense-0869,-0.889404297,0.405273438,0.137329102,0.274390244,2.347560976,-0.762195122,squat-1,break
1.58204E+12,eSense-0869,-0.89465332,0.395874023,0.142822266,-0.152439024,1.737804878,-1.615853659,squat-1,break
1.58204E+12,eSense-0869,-0.894042969,0.395019531,0.146728516,0.884146341,0.609756098,-1.798780488,squat-1,break
1.58204E+12,eSense-0869,-0.893798828,0.395019531,0.155883789,0.609756098,0.548780488,-1.798780488,squat-1,break
1.58204E+12,eSense-0869,-0.888793945,0.39440918,0.16418457,0.304878049,0.091463415,-2.62195122,squat-1,break
1.58204E+12,eSense-0869,-0.891845703,0.39453125,0.173217773,0.701219512,-0.030487805,-3.475609756,squat-1,break
1.58204E+12,eSense-0869,-0.888305664,0.392089844,0.190307617,0.304878049,-1.097560976,-3.292682927,squat-1,break
1.58204E+12,eSense-0869,-0.875976563,0.402099609,0.208496094,4.115853659,-4.573170732,-3.68902439,squat-1,break
1.58204E+12,eSense-0869,-0.893310547,0.378417969,0.181762695,5.335365854,-5.06097561,-9.87804878,squat-1,break
1.58204E+12,eSense-0869,-0.927978516,0.278686523,0.117553711,6.402439024,1.615853659,-17.68292683,squat-1,squat
1.58204E+12,eSense-0869,-0.918334961,0.268920898,0.063720703,6.12804878,4.359756098,-7.103658537,squat-1,squat
1.58204E+12,eSense-0869,-0.948364258,0.262939453,0.04675293,-9.024390244,17.04268293,0.12195122,squat-1,squat
1.58204E+12,eSense-0869,-0.950927734,0.235595703,0.086791992,-16.67682927,17.10365854,-5.365853659,squat-1,squat
1.58204E+12,eSense-0869,-0.931396484,0.266357422,0.140625,-15.88414634,12.65243902,4.237804878,squat-1,squat
1.58204E+12,eSense-0869,-0.900878906,0.360961914,0.236328125,-14.14634146,9.146341463,17.71341463,squat-1,squat
1.58204E+12,eSense-0869,-0.854858398,0.404418945,0.252441406,-6.097560976,-0.701219512,15.24390244,squat-1,squat
1.58204E+12,eSense-0869,-0.819335938,0.430908203,0.246337891,1.402439024,-1.341463415,4.115853659,squat-1,squat
1.58204E+12,eSense-0869,-0.864379883,0.43347168,0.296020508,-0.396341463,-15.45731707,-5.640243902,squat-1,squat
